P241	Q705738	Q9212
P161	Q515621	Q359416
P106	Q95089	Q36180
P1830	Q201994	Q18819314
P166	Q237805	Q1131356
P1343	Q298682	Q46002746
P106	Q540787	Q15949613
P2643	Q620640	Q23622771
P31	Q329700	Q5
P106	Q436712	Q482980
P106	Q190379	Q6625963
P1411	Q335672	Q5305719
P69	Q191819	Q1419737
P2643	Q681025	Q23662433
P1050	Q83396	Q12204
P161	Q244803	Q189547
P31	Q3595438	Q5
P106	Q201034	Q4610556
P2293_P459_P459	Q41861	Q18029451	Q1098876	Q23190853
P166	Q190602	Q908858
P166	Q23547	Q1044427
P725	Q622763	Q381768
P161	Q280918	Q707410
P2643	Q2982991	Q23622825
P101	Q215300	Q207628
P166	Q8338	Q48757486
P69	Q229535	Q459506
P2293_P459_P459	Q11081	Q18032804	Q1098876	Q23190853
P161	Q32450	Q456835
P106	Q272591	Q33999
P106	Q347879	Q2259451
P161	Q23609	Q924104
P69	Q107933	Q1472347
P69	Q908668	Q6925843
P106	Q236250	Q10798782
P106	Q19810	Q3501317
P106	Q191064	Q2526255
P31	Q609274	Q5398426
P106	Q4914	Q245068
P69	Q273208	Q579968
P279	Q203535	Q784242
P31	Q371786	Q5
P1343	Q7199	Q51955019
P166	Q103774	Q754841
P106	Q633	Q10800557
P106	Q1383270	Q28389
P1303	Q449658	Q6607
P161	Q19570	Q233575
P509	Q1277484	Q12152
P463	Q189080	Q103550
P166	Q432437	Q1044427
P106	Q105460	Q33999
P161	Q4529	Q229313
P1411_P1686	Q173158	Q922348	Q552036
P21	Q309980	Q6581097
P31	Q1861687	Q615150
P31	Q847956	Q618779
P21	Q311068	Q6581097
P2643	Q1927705	Q23662432
P2643	Q1411222	Q23662768
P161_P453	Q147235	Q438583	Q50385726
P412	Q230420	Q30903
P264	Q201656	Q54860
P1411	Q38757	Q37922
P106	Q274562	Q36834
P106	Q703759	Q266569
P106	Q2712978	Q28389
P725	Q164417	Q180338
P2643	Q1357891	Q23662485
P1411	Q313185	Q17008985
P21	Q233748	Q6581097
P1343	Q156193	Q17378135
P161	Q23558	Q257286
P106	Q115055	Q43845
P106	Q163263	Q4610556
P264	Q192486	Q330629
P31	Q192781	Q11862829
P1303	Q222071	Q6607
P106	Q722042	Q3665646
P106	Q3345031	Q3282637
P1344	Q47050	Q131591
P1411	Q106819	Q1240387
P106	Q380904	Q266569
P31	Q158745	Q5
P725	Q8822	Q139611
P1343	Q181819	Q2657718
P21	Q42745	Q6581072
P21	Q1566335	Q6581097
P106	Q732397	Q2526255
P166	Q127417	Q11288429
P106	Q192506	Q36834
P106	Q365199	Q1415090
P21	Q382420	Q6581097
P106	Q229134	Q10798782
P1346_P1686	Q5894560	Q311179	Q536299
P509	Q202449	Q504775
P1411	Q482907	Q6314103
P106	Q7482626	Q3282637
P31	Q184612	Q5
P1303	Q190576	Q1112687
P2293_P459_P459	Q1472	Q18045327	Q1098876	Q23190853
P725	Q34397	Q1802786
P161	Q19570	Q16201337
P161	Q515621	Q707410
P2643	Q1475020	Q23622825
P31	Q369175	Q5
P106	Q532944	Q28389
P31	Q634898	Q5
P725	Q8822	Q235272
P106	Q235002	Q10800557
P31	Q128047	Q189004
P361	Q313546	Q3065318
P1303	Q251287	Q46185
P106	Q2748620	Q33231
P106	Q180962	Q2259451
P161	Q847646	Q3045427
P106	Q465863	Q82955
P166	Q184697	Q326482
P106	Q267422	Q4610556
